Iso3,StartDate,EndDate,Area Code,Area,Item Code,Item,Element Code,Element,Year Code,Year,Unit,Value,Flag
#country+code,#date+start,#date+end,,#country+name,#indicator+code,#indicator+name,,,,#date+year,#indicator+type,#indicator+value+num,
IDN,1981-01-01,1981-12-31,101,Indonesia,22024,GDP Deflator,6180,"Value Local Currency, 2015 prices",1981,1981,LCU,3.310600,Fc
IDN,1982-01-01,1982-12-31,101,Indonesia,22024,GDP Deflator,6180,"Value Local Currency, 2015 prices",1982,1982,LCU,3.480400,Fc
IDN,1983-01-01,1983-12-31,101,Indonesia,22024,GDP Deflator,6180,"Value Local Currency, 2015 prices",1983,1983,LCU,3.975300,Fc
IDN,1984-01-01,1984-12-31,101,Indonesia,22024,GDP Deflator,6180,"Value Local Currency, 2015 prices",1984,1984,LCU,4.303200,Fc
IDN,1985-01-01,1985-12-31,101,Indonesia,22024,GDP Deflator,6180,"Value Local Currency, 2015 prices",1985,1985,LCU,4.532000,Fc
IDN,1986-01-01,1986-12-31,101,Indonesia,22024,GDP Deflator,6180,"Value Local Currency, 2015 prices",1986,1986,LCU,4.531500,Fc
IDN,1987-01-01,1987-12-31,101,Indonesia,22024,GDP Deflator,6180,"Value Local Currency, 2015 prices",1987,1987,LCU,5.249700,Fc
IDN,1988-01-01,1988-12-31,101,Indonesia,22024,GDP Deflator,6180,"Value Local Currency, 2015 prices",1988,1988,LCU,5.951000,Fc
IDN,1989-01-01,1989-12-31,101,Indonesia,22024,GDP Deflator,6180,"Value Local Currency, 2015 prices",1989,1989,LCU,6.545700,Fc
IDN,1990-01-01,1990-12-31,101,Indonesia,22024,GDP Deflator,6180,"Value Local Currency, 2015 prices",1990,1990,LCU,7.051200,Fc
IDN,1991-01-01,1991-12-31,101,Indonesia,22024,GDP Deflator,6180,"Value Local Currency, 2015 prices",1991,1991,LCU,7.673700,Fc
IDN,1992-01-01,1992-12-31,101,Indonesia,22024,GDP Deflator,6180,"Value Local Currency, 2015 prices",1992,1992,LCU,8.085300,Fc
IDN,1993-01-01,1993-12-31,101,Indonesia,22024,GDP Deflator,6180,"Value Local Currency, 2015 prices",1993,1993,LCU,8.803300,Fc
IDN,1994-01-01,1994-12-31,101,Indonesia,22024,GDP Deflator,6180,"Value Local Currency, 2015 prices",1994,1994,LCU,9.488000,Fc
IDN,1995-01-01,1995-12-31,101,Indonesia,22024,GDP Deflator,6180,"Value Local Currency, 2015 prices",1995,1995,LCU,10.425500,Fc
IDN,1996-01-01,1996-12-31,101,Indonesia,22024,GDP Deflator,6180,"Value Local Currency, 2015 prices",1996,1996,LCU,11.330100,Fc
