Iso3,StartDate,EndDate,Area Code,Area,Item Code,Item,Element Code,Element,Year Code,Year,Months Code,Months,Unit,Value,Flag
IDN,1999-01-01,1999-12-31,101,Indonesia,571,"Mangoes, mangosteens, guavas",5532,Producer Price (USD/tonne),1999,1999,7021,Annual value,USD,201.200000,
IDN,2000-01-01,2000-12-31,101,Indonesia,571,"Mangoes, mangosteens, guavas",5532,Producer Price (USD/tonne),2000,2000,7021,Annual value,USD,345.000000,
IDN,2001-01-01,2001-12-31,101,Indonesia,571,"Mangoes, mangosteens, guavas",5532,Producer Price (USD/tonne),2001,2001,7021,Annual value,USD,313.200000,
IDN,2002-01-01,2002-12-31,101,Indonesia,571,"Mangoes, mangosteens, guavas",5532,Producer Price (USD/tonne),2002,2002,7021,Annual value,USD,448.600000,
IDN,2003-01-01,2003-12-31,101,Indonesia,571,"Mangoes, mangosteens, guavas",5532,Producer Price (USD/tonne),2003,2003,7021,Annual value,USD,458.000000,
IDN,2005-01-01,2005-12-31,101,Indonesia,571,"Mangoes, mangosteens, guavas",5532,Producer Price (USD/tonne),2005,2005,7021,Annual value,USD,451.700000,
IDN,2006-01-01,2006-12-31,101,Indonesia,571,"Mangoes, mangosteens, guavas",5532,Producer Price (USD/tonne),2006,2006,7021,Annual value,USD,446.300000,
IDN,2007-01-01,2007-12-31,101,Indonesia,571,"Mangoes, mangosteens, guavas",5532,Producer Price (USD/tonne),2007,2007,7021,Annual value,USD,525.200000,
IDN,2008-01-01,2008-12-31,101,Indonesia,571,"Mangoes, mangosteens, guavas",5532,Producer Price (USD/tonne),2008,2008,7021,Annual value,USD,630.100000,
IDN,2009-01-01,2009-12-31,101,Indonesia,571,"Mangoes, mangosteens, guavas",5532,Producer Price (USD/tonne),2009,2009,7021,Annual value,USD,557.500000,
IDN,2010-01-01,2010-12-31,101,Indonesia,571,"Mangoes, mangosteens, guavas",5532,Producer Price (USD/tonne),2010,2010,7021,Annual value,USD,343.400000,
IDN,2011-01-01,2011-12-31,101,Indonesia,571,"Mangoes, mangosteens, guavas",5532,Producer Price (USD/tonne),2011,2011,7021,Annual value,USD,694.900000,
IDN,2012-01-01,2012-12-31,101,Indonesia,571,"Mangoes, mangosteens, guavas",5532,Producer Price (USD/tonne),2012,2012,7021,Annual value,USD,684.200000,
IDN,2013-01-01,2013-12-31,101,Indonesia,571,"Mangoes, mangosteens, guavas",5532,Producer Price (USD/tonne),2013,2013,7021,Annual value,USD,625.900000,
IDN,2014-01-01,2014-12-31,101,Indonesia,571,"Mangoes, mangosteens, guavas",5532,Producer Price (USD/tonne),2014,2014,7021,Annual value,USD,576.400000,
IDN,2015-01-01,2015-12-31,101,Indonesia,571,"Mangoes, mangosteens, guavas",5532,Producer Price (USD/tonne),2015,2015,7021,Annual value,USD,532.700000,
IDN,2016-01-01,2016-12-31,101,Indonesia,571,"Mangoes, mangosteens, guavas",5532,Producer Price (USD/tonne),2016,2016,7021,Annual value,USD,572.900000,
IDN,2017-01-01,2017-12-31,101,Indonesia,571,"Mangoes, mangosteens, guavas",5532,Producer Price (USD/tonne),2017,2017,7021,Annual value,USD,720.900000,
IDN,2018-01-01,2018-12-31,101,Indonesia,571,"Mangoes, mangosteens, guavas",5532,Producer Price (USD/tonne),2018,2018,7021,Annual value,USD,696.500000,
